team_id,abbreviation,arena_name,arena_city,arena_state,arena_latitude,arena_longitude
1610612737,ATL,State Farm Arena,Atlanta,GA,33.75722,-84.39639
1610612738,BOS,TD Garden,Boston,MA,42.36639,-71.06222
1610612739,CLE,Rocket Mortgage FieldHouse,Cleveland,OH,41.49639,-81.68806
1610612740,NOP,Smoothie King Center,New Orleans,LA,29.94889,-90.08194
1610612741,CHI,United Center,Chicago,IL,41.88056,-87.67417
1610612742,DAL,American Airlines Center,Dallas,TX,32.79056,-96.81028
1610612743,DEN,Ball Arena,Denver,CO,39.74861,-105.00750
1610612744,GSW,Chase Center,San Francisco,CA,37.76806,-122.38750
1610612745,HOU,Toyota Center,Houston,TX,29.75083,-95.36222
1610612746,LAC,Intuit Dome,Inglewood,CA,33.94510,-118.34310
1610612747,LAL,Crypto.com Arena,Los Angeles,CA,34.04306,-118.26722
1610612748,MIA,Kaseya Center,Miami,FL,25.78139,-80.18806
1610612749,MIL,Fiserv Forum,Milwaukee,WI,43.04500,-87.91806
1610612750,MIN,Target Center,Minneapolis,MN,44.97972,-93.27611
1610612751,BKN,Barclays Center,Brooklyn,NY,40.68265,-73.97523
1610612752,NYK,Madison Square Garden,New York,NY,40.75056,-73.99361
1610612753,ORL,Kia Center,Orlando,FL,28.53917,-81.38389
1610612754,IND,Gainbridge Fieldhouse,Indianapolis,IN,39.76400,-86.15556
1610612755,PHI,Xfinity Mobile Arena,Philadelphia,PA,39.90111,-75.17194
1610612756,PHX,PHX Arena,Phoenix,AZ,33.44583,-112.07139
1610612757,POR,Moda Center,Portland,OR,45.53167,-122.66667
1610612758,SAC,Golden 1 Center,Sacramento,CA,38.58028,-121.49972
1610612759,SAS,Frost Bank Center,San Antonio,TX,29.42694,-98.43750
1610612760,OKC,Paycom Center,Oklahoma City,OK,35.46333,-97.51500
1610612761,TOR,Scotiabank Arena,Toronto,ON,43.64333,-79.37917
1610612762,UTA,Delta Center,Salt Lake City,UT,40.76833,-111.90111
1610612763,MEM,FedExForum,Memphis,TN,35.13833,-90.05056
1610612764,WAS,Capital One Arena,Washington,DC,38.89806,-77.02083
1610612765,DET,Little Caesars Arena,Detroit,MI,42.34111,-83.05500
1610612766,CHA,Spectrum Center,Charlotte,NC,35.22528,-80.83917
