team_id,abbreviation,primary_color,alternate_color
1610612737,ATL,#C8102E,#FDB927
1610612738,BOS,#007A33,#BA9653
1610612739,CLE,#860038,#FDBB30
1610612740,NOP,#0C2340,#C8102E
1610612741,CHI,#CE1141,#000000
1610612742,DAL,#00538C,#002B5E
1610612743,DEN,#0E2240,#FEC524
1610612744,GSW,#1D428A,#FFC72C
1610612745,HOU,#CE1141,#C4CED4
1610612746,LAC,#C8102E,#1D428A
1610612747,LAL,#552583,#FDB927
1610612748,MIA,#98002E,#F9A01B
1610612749,MIL,#00471B,#EEE1C6
1610612750,MIN,#0C2340,#236192
1610612751,BKN,#000000,#FFFFFF
1610612752,NYK,#006BB6,#F58426
1610612753,ORL,#0077C0,#C4CED4
1610612754,IND,#002D62,#FDBB30
1610612755,PHI,#006BB6,#ED174C
1610612756,PHX,#1D1160,#E56020
1610612757,POR,#E03A3E,#000000
1610612758,SAC,#5A2D81,#63727A
1610612759,SAS,#000000,#C4CED4
1610612760,OKC,#007AC1,#EF3B24
1610612761,TOR,#CE1141,#000000
1610612762,UTA,#002B5C,#F9A01B
1610612763,MEM,#5D76A9,#12173F
1610612764,WAS,#002B5C,#E31837
1610612765,DET,#C8102E,#1D42BA
1610612766,CHA,#1D1160,#00788C
